accuracy,n_estimators,max_depth,max_feature,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.5791781404949884,416,15,11,4,16,16,ica,rb
0.5412679023642826,440,19,23,5,48,16,pca,std
0.5485535528079846,56,22,16,14,33,18,pca,std
0.567218403524079,108,15,12,11,23,15,pca,mx
0.5584682173182098,233,12,26,20,27,6,ica,norm
0.5150118107722754,77,15,28,31,38,14,ica,pt
0.5255155242493244,77,30,1,43,39,15,ica,mx
0.5345576812581132,21,16,25,7,36,14,pca,norm
0.5532165733863932,381,17,1,27,21,11,ica,std
0.5310582877572301,23,16,22,23,44,8,pca,norm
0.610954012470473,83,28,11,15,5,19,ica,std
0.5322227660615862,281,4,5,9,28,5,pca,pt
0.5713004617905557,465,11,17,38,10,11,pca,rb
0.5173454491285565,351,17,23,7,43,17,ica,pt
0.5018846162031027,79,5,26,16,34,20,ica,pt
0.44327254155050966,28,1,23,21,12,16,pca,norm
0.5806307590815263,327,18,19,27,10,2,pca,rb
0.5462237449724415,282,21,11,7,42,6,pca,std
0.5605115873252325,87,12,22,19,23,19,pca,rb
0.5479730161094677,447,6,28,49,32,7,ica,std
0.5468034304441276,249,17,24,4,36,20,ica,norm
0.5374739843799876,204,6,12,46,22,7,pca,norm
0.5237666787257135,252,24,1,46,39,18,pca,norm
0.587923644953289,26,12,26,3,6,11,pca,norm
0.5564261241514333,99,13,16,49,35,11,ica,std
0.5625511268115171,355,22,14,12,20,6,pca,rb
0.5605094592581558,74,23,20,44,24,2,pca,std
0.5523449171117873,162,22,6,42,38,13,pca,mx
0.5928833180821859,421,26,19,26,7,14,pca,mx
0.5427235002447277,32,30,12,20,50,16,pca,std
0.5672175522972485,72,13,30,8,27,5,ica,mx
0.5220152795216105,465,17,24,38,44,19,ica,pt
0.5540933370219829,285,27,23,45,26,11,pca,rb
0.578300525632568,83,25,18,44,5,18,ica,std
0.5132625396352493,499,3,8,46,7,17,pca,pt
0.6124211019131323,83,28,11,15,5,19,ica,std
0.6045468281160222,250,19,12,16,6,19,pca,pt
0.6027979825924114,177,20,14,2,7,13,pca,mx
0.595504245493818,389,21,14,14,10,8,pca,std
0.5902555808559086,17,21,24,17,1,14,ica,norm
0.5928833180821859,421,26,19,26,7,14,pca,mx
0.5908412249154094,317,16,10,33,5,20,ica,std
0.587923644953289,26,12,26,3,6,11,pca,norm
0.5826732778617182,391,27,11,42,2,20,ica,rb
0.5771330680343045,329,29,7,42,8,12,ica,mx
0.5806307590815263,327,18,19,27,10,2,pca,rb
0.5844212721584985,416,15,11,4,16,16,ica,rb
0.5774263156774702,324,15,18,33,17,8,ica,mx
0.5847174990955715,83,25,18,44,5,18,ica,std
0.5768432252984614,475,15,22,44,11,15,ica,std
0.5692600710774404,266,13,29,38,23,3,ica,rb
0.5713004617905557,465,11,17,38,10,11,pca,rb
0.5730539890617352,122,30,24,2,22,7,ica,rb
0.5678010682896725,467,23,3,48,7,16,pca,std
0.5683858611223427,465,9,19,48,14,9,ica,norm
0.567218403524079,108,15,12,11,23,15,pca,mx
0.5643042284692814,72,13,30,8,27,5,ica,mx
0.5742103807112,467,13,5,23,3,19,ica,pt
0.5608052605818135,221,11,14,4,26,2,ica,rb
0.5634287416739375,26,8,26,38,8,18,pca,rb
0.5672171266838331,211,15,14,43,20,18,ica,norm
0.5625511268115171,355,22,14,12,20,6,pca,rb
0.5590538613777106,164,17,11,6,26,18,ica,norm
0.5578829988721244,375,15,16,28,28,7,ica,rb
0.5605115873252325,87,12,22,19,23,19,pca,rb
0.5605094592581558,74,23,20,44,24,2,pca,std
0.5602183396820667,322,18,5,49,19,4,pca,pt
0.6162090613096124,83,28,11,15,5,19,ica,std
0.6045468281160222,250,19,12,16,6,19,pca,pt
0.6027979825924114,177,20,14,2,7,13,pca,mx
0.595504245493818,389,21,14,14,10,8,pca,std
0.5928833180821859,421,26,19,26,7,14,pca,mx
0.5841275989019173,317,16,10,33,5,20,ica,std
0.6060075333574515,17,21,24,17,1,14,ica,norm
0.587923644953289,26,12,26,3,6,11,pca,norm
0.573925645336341,83,25,18,44,5,18,ica,std
0.579175161201081,416,15,11,4,16,16,ica,rb
0.6132923325743227,83,28,11,15,5,19,ica,std
0.6016322274478091,17,21,24,17,1,14,ica,norm
0.6045468281160222,250,19,12,16,6,19,pca,pt
0.6162099125364431,83,28,11,15,5,19,ica,std
0.574218041752676,115,13,25,5,15,16,pca,rb
0.6240833351067226,218,29,13,3,4,2,ica,std
0.5663446191823966,39,26,12,18,26,15,ica,mx
0.5497252665404013,172,24,4,33,42,2,ica,mx
0.5485492966738312,54,29,18,9,36,18,pca,pt
